# Commit SHA map, history rewrite of 6 September 2026
#
# The history was rewritten once, to remove tooling attribution trailers and
# to take a private address, a cluster username and two hostnames out of the
# published record. Every commit SHA changed as a result.
#
# 49 run directories record the commit they were produced at, in
# runs/<run_id>/git.txt. Those files hold PRE-REWRITE SHAs. This table maps
# them to the commits that exist now, so the provenance line in findings.md
# still resolves to real code. Without it, 49 results would point at nothing.
#
# old(pre-rewrite)                          new(current)
970b55a090f27610dfce831eb927ddef2b13a225 625934eff51ec962389baeea1bec506a0690893e
987b46a21991c0b90f0cd9310e47b2a76200845d db1606af7c21d7092fe25ca9cdf024dd3a6b97de
99631c545a4cdc76f5629632cfd4c1ad6d9b585f e6e7ed6981c364a084252d32ac58e5981f4aad6a
9a28475bdf410324e3f011319e3a7284aa5c0828 9fc7461ee493ef3969ed1899b28d2b1a52bb2db3
9f3347e9df30e20c60b63439ed677f1aea579413 a8d97ebb32676d35b9324019ebedb606d4ee1ccd
a24de0fae1be3f525a9cc67d6385c4748fb9f2f3 7bd4315cc6c2f0e917194eb2fa3a83d8d5ac3f6b
a3721e0e47b0d74c2f1fa5fc67cf7e5c1471dc34 54a86f75a20c26b230b308a84d13b79d81396ef7
a379701a94fb12fda358c472ef925ed2b7cf70a0 50e6248a4b15edc9b8364bbcfe428653508217e5
a917fa0398ff9f9a90b781c1730d4d43829f91a8 44ab71e5384a4a5036f6b39a3d80668bc9915e5f
ada2426ad2db4faf1e92511fa20e68d18dec7ce8 80f1dfc8fb2c42e6a98c2e785263aa7ad196d43b
b05ef4e184875db733b2a095bc8bf20d904ae364 092edefcb8a94c10b28a551ddb9b3c58d6475c6d
b12d044586702b53e278cbfd70c28b54a13898fe 7d5832506ab972d85165c65f4f64779270e61066
b269ace00bc371ada6e02ae9b635836fdfb072dc 20999578282ba2b6e55b3d77e1b8511d8619c827
b42f5312da513ad4adb4c1172db79267bc3c5951 65c5bc5082fa52dfa417a5204923c284d01bf5b2
bb8f54cd6a51e0edf5b54b01e4023a691f114bb9 0d3d17669bfde8b3e55ddb2309830a799f0f017b
bcf7d1b9db57f16b6b46f621f3200435458e5a54 35bd0e4cca68f5701eee9e27fbc8af352b904b1f
bfc18ccb0ca9f5cf873613d5c23b8d92b0684fb8 7c7c40556d1ef0d682ae035ca6c918a9961c3b27
c0835628bca7e813d0497294296e0f350255c79c a276c0919a3f74a8c0a6667ecefb35d69be12c6d
c129ce1fcce24b8a900c537d784422c9fcac9a3d bb485728bdf0740e39c0438c8d96b7ad985e8e69
c1302b27c7ae1e11d652aa0173d8c40ce7425a86 a7f6f6dbdabe1e1cb8cdc3cae66e169aa52fe549
c95466628072a1fd28f398410d0258a166b482f0 066075a5f3f928bcda8c0092868df81c4d839dce
cb5ac932a67f20d363fc9e9a65540ba285c02f02 bc317b9c82f7ada770c02a8ae69cbfcbfcbe9cd8
cf0b4661adf9587a0cbe46fbff38b1bf3515ede5 2d5d9ac28bfeab68ff936f388f8e37b706239c5f
d378f4344478dee44dd949208fd9f683c1143fa1 967c5ddd0c6bafd391793ead1dcea337af889c95
d6a44d46dd3596830640f4efc5adc027284fb1ab 341ed19ea81985288b60399a744aba7427d2b33f
d74ac37100d61d5c313a0ffd92d357338c95bf9c 25983e11a8ce7255d08608b7df5cfc1ac1126232
da665edee12b40a5eab1f8be26ecb04c74dd8a09 eb788b175458e0fc82b24c9e14899ebfeb18ea15
dca18005a10e387a48cde1a0f3f2eb59d2a9edda 31a56fe61f522199a203f021744c5c84941378a6
dd9dc04da57ea8fab4b46c3a50c2dc59c3623424 aeae7e11d0d3a95db38557822352670ee64fd49a
e2fdf1ed75a309d147f7ce9bd399f5b330b1f4f5 cb2418ca822e8bfcf5f10bc4f7d4b96b59838ef6
e64912054cda4ce52d5f8b763c0ee940df25bb1c 414c7cfc9622a23b9b93135727247ac689c78f67
e69d3ec83983e3210aa4b95d5929d408917aeef9 c7df8328ec10fa69f8dad02e14ba47ecb6fa8a45
e7970dcfd55061d0c6a9a4caed3a4fc04319b320 060a175444320cec82760d8720366f10bcaecc5c
e91afcca8bbc4cab983ab0ff85d704fd3b652b0e 170ca0ea822aee98158bfb5e32d3b5cc43da19c6
ee72de622676e8bbcb7d5a05951283dd4ae80244 b5d38b449fbb107aa42c3a5d5e01de023ced389a
eefae320324f4c59fa69a5154c96c05c61e54923 db8913a20d6694cf5909bcc024c4ef646b3248a4
efcc746779f694c05cd4fbc984cfbb6c21a5d4d8 097d8283ef2fdfd0e03d3d7945a3b3533832ac4f
f00b3d6474925efc169a2bf2a495c16869dc38cd 857df96f40dd72aa6a7cc4c7e53381202550af5d
f5f4fbedf48a3230acfb0402a94a3f2dca82c5f3 cee4288af30995fed8fa3939e1fa5180c9ab4840
f740619dadae0f0b6ece02eea547e6b94e312703 5a2f95b4de023d386a5343fd90c009f76402c11c
f8aeb66de3fe71d451988b2f1a8f02a6daa4db77 493d1a58500ed02f41632c2d1951cb2d47f3a5b1
f9a1fb9502ff160897f97744c7ab20ba37e363f3 84c5e41344e90a6c1735a3ea34717a5aa6611910
f9f56734e53c35eedd92576e3378696e953bff48 f7e885eaba7f584dc14d338efe67e62ad9167683
fa339ed6c5b056faa2dff64e0077766589796f91 7cf38979cbb1eb811eafbbae2f3301161f570df2
fb40e5dcbcb50ed253b9dab9384b939ae56fddff 3f020d0e96c9f783c06a35db62b12e4f6451f3b4
fbb35dab0a831897b2cbd1d509904a175d9a1cb2 44eb1fff75577d9cfee819f0bade66784f02a92c
